Fips,Target
54029,1
54029,0
13143,1
13145,0
13145,1
48201,0
48201,1
13147,1
13147,0
21099,1
21099,0
13149,1
13155,0
13159,1
13159,0
19099,1
19099,0
17079,1
17079,0
18073,1
18073,0
29097,1
29097,0
28061,1
28061,0
45053,1
45053,0
48241,1
48241,0
13161,1
48243,1
13165,1
13169,1
13169,0
19105,1
19105,0
28067,1
28067,0
37103,1
37103,0
46075,1
46075,0
48253,1
48253,0
13173,1
13175,1
13175,0
45059,1
45059,0
13183,1
13187,1
13199,0
13205,0
13205,1
19131,0
19131,1
20123,0
20123,1
37121,0
37121,1
48335,0
48335,1
13213,0
13213,1
27101,0
27101,1
40099,0
40099,1
13215,1
13219,1
13219,0
45073,1
45073,0
13221,1
13223,0
13223,1
39125,0
39125,1
13225,1
13229,1
13229,0
38069,1
38069,0
31139,1
31139,0
53053,1
53053,0
55093,1
55093,0
13239,1
28119,1
13241,1
13245,1
37153,1
36085,1
51159,1
13247,1
13249,0
13251,1
13255,1
13257,0
13257,1
40137,0
40137,1
48429,0
48429,1
13259,0
13259,1
47161,0
47161,1
13263,1
24041,1
13267,1
13271,0
13273,0
13273,1
48443,0
48443,1
13275,1
13275,0
20193,1
20193,0
31171,1
31171,0
13277,0
13279,0
13281,0
13283,1
13285,0
13287,1
46125,1
13289,0
13293,0
13299,1
13301,0
13301,1
19181,0
19181,1
17187,0
17187,1
18171,0
18171,1
21227,0
21227,1
29219,0
29219,1
28149,0
28149,1
37185,0
37185,1
34041,0
34041,1
36113,0
36113,1
39165,0
39165,1
42123,0
42123,1
47177,0
47177,1
51187,0
51187,1
13305,0
13305,1
19185,0
19185,1
17191,0
17191,1
18177,0
18177,1
21231,0
21231,1
26163,0
26163,1
29223,0
29223,1
28153,0
28153,1
37191,0
37191,1
31179,0
31179,1
36117,0
36117,1
39169,0
39169,1
42127,0
42127,1
47181,0
47181,1
49055,0
49055,1
54099,0
54099,1
13307,1
13307,0
19187,1
19187,0
21233,1
21233,0
29225,1
29225,0
28155,1
28155,0
31181,1
31181,0
54101,1
54101,0
13309,0
13309,1
31183,0
31183,1
41069,0
41069,1
48483,0
48483,1
13313,0
13317,1
37193,1
13319,1
13319,0
28157,1
28157,0
13321,1
13321,0
19195,1
19195,0
29227,1
29227,0
15001,1
15003,1
15007,0
19001,1
21001,1
29001,1
40001,1
19005,0
19007,1
19009,1
19013,1
19017,1
19019,0
29021,0
51027,0
19021,0
19029,1
19029,0
17017,1
17017,0
18017,1
18017,0
26027,1
26027,0
27021,1
27021,0
29037,1
29037,0
38017,1
38017,0
31025,1
31025,0
48067,1
48067,0
19031,0
19031,1
29039,0
29039,1
31027,0
31027,1
19033,0
19037,1
28017,1
19045,1
19045,0
17027,1
17027,0
18023,1
18023,0
21053,1
21053,0
26037,1
26037,0
29049,1
29049,0
36019,1
36019,0
39027,1
39027,0
42035,1
42035,0
19051,1
49011,1
19055,1
19055,0
18035,1
18035,0
36025,1
36025,0
39041,1
39041,0
40041,1
40041,0
42045,1
42045,0
19057,1
19059,0
19059,1
20041,0
20041,1
26043,0
26043,1
19061,1
19063,1
19063,0
26047,1
26047,0
19075,1
19075,0
17063,1
17063,0
29079,1
29079,0
47061,1
47061,0
19077,1
19083,1
19083,0
17069,1
17069,0
21093,1
21093,0
39065,1
39065,0
47071,1
47071,0
48199,1
48199,0
19085,0
19085,1
18061,0
18061,1
21097,0
21097,1
29081,0
29081,1
28047,0
28047,1
39067,0
39067,1
48203,0
48203,1
54033,0
54033,1
19093,1
19095,1
55049,1
19107,0
19109,1
19113,1
19113,0
20107,1
20107,0
29115,1
29115,0
41043,1
41043,0
19115,1
51109,1
19117,0
39095,0
19119,1
19119,0
20111,1
20111,0
21143,1
21143,0
27083,1
27083,0
32019,1
32019,0
19123,1
19129,0
48333,0
19133,0
19139,1
19145,1
51139,1
19147,0
19149,1
25023,1
19151,1
54075,1
19155,1
19157,1
19159,0
19161,1
19167,1
19167,0
38085,1
38085,0
19169,1
19171,0
19179,1
19189,1
19189,0
17201,1
17201,0
55139,1
55139,0
19191,1
19193,0
19197,0
19197,1
27171,0
27171,1
29229,0
29229,1
16001,1
16005,1
16007,0
16009,0
16011,0
16013,1
30005,1
40011,1
16015,0
16017,0
16019,1
16021,1
16025,1
16027,1
16029,1
16031,1
16035,1
27029,1
16045,1
16047,1
16049,1
16053,1
16055,1
16057,0
16059,1
16061,1
16061,0
21135,1
21135,0
29111,1
29111,0
36049,1
36049,0
47101,1
47101,0
53041,1
53041,0
54041,1
54041,0
16067,1
16069,1
16071,0
16071,1
36065,0
36065,1
55085,0
55085,1
16073,0
16075,0
16077,1
16079,0
16081,0
30099,0
56039,0
16083,1
16085,1
16085,0
30105,1
30105,0
31175,1
31175,0
17003,1
37003,1
17005,1
17009,0
17009,1
18013,0
18013,1
20013,0
20013,1
27015,0
27015,1
31017,0
31017,1
39015,0
39015,1
46013,0
46013,1
48049,0
48049,1
55009,0
55009,1
17011,1
17019,1
39021,1
17021,0
17021,1
21047,0
21047,1
29043,0
29043,1
17029,0
17035,0
17035,1
21057,0
21057,1
23005,0
23005,1
37051,0
37051,1
34011,0
34011,1
42041,0
42041,1
47035,0
47035,1
51049,0
51049,1
17039,1
17045,0
17047,0
20047,0
48137,0
17053,0
17053,1
20057,0
20057,1
17059,1
21077,1
30031,1
17071,1
17071,0
21101,1
21101,0
37089,1
37089,0
47077,1
47077,0
48213,1
48213,0
17075,1
17083,1
17085,1
17089,0
49025,0
17091,0
17093,0
17093,1
48259,0
48259,1
17095,1
17095,0
18083,1
18083,0
21121,1
21121,0
23013,1
23013,0
29103,1
29103,0
31107,1
31107,0
39083,1
39083,0
47093,1
47093,0
48275,1
48275,0
17105,1
17105,0
21139,1
21139,0
26093,1
26093,0
29117,1
29117,0
36051,1
36051,0
17117,1
17125,0
17125,1
21161,0
21161,1
26105,0
26105,1
48319,0
48319,1
53045,0
53045,1
54053,0
54053,1
17127,1
17129,1
